# IEA-22-280  tapered SG segment  r = 0.2 -> 0.3
# SHELL = OpenSG-TW JAX MITC-RM (OML reference)   |   SOLID = OpenSG-FEniCS 3-D
# Timoshenko 6x6, order [EA, GA2, GA3, GJ, EI2, EI3]   (units: N and N*m^2)
# %err_ij = 100*(shell-solid)/solid ; '.' = |solid| < 1e+06 (structurally zero)
#==============================================================================


#==============================================================================
### TAPER SEGMENT  (r = 0.2 -> 0.3, full 3-D)
#==============================================================================

-- SOLID  6x6 --
                   EA          GA2          GA3           GJ          EI2          EI3
  EI3   -5.7406e+10  -7.4433e-06  -9.7065e-06   2.7482e-05  -4.3705e+09   1.7449e+11

-- %ERROR 6x6  (shell vs solid) --
                   EA          GA2          GA3           GJ          EI2          EI3
  EA          3.55%     -100.00%     -100.00%     -100.00%       41.71%        3.29%
  GA2      -100.00%        0.25%       23.38%       88.30%     -100.00%     -100.00%
  GA3      -100.00%       23.38%       37.21%       33.42%     -100.00%     -100.00%
  GJ       -100.00%       88.30%       33.42%       18.68%     -100.00%     -100.00%
  EI2        41.71%     -100.00%     -100.00%     -100.00%       13.02%       14.31%
  EI3         3.29%     -100.00%     -100.00%     -100.00%       14.31%        2.52%

-- DIAGONAL summary --
  EA +3.5%  GA2 +0.2%  GA3 +37.2%  GJ +18.7%  EI2 +13.0%  EI3 +2.5%

#==============================================================================
# NOTE  Solid hex layers are PLY-CONFORMING (layer interfaces at ply-group
#       boundaries, NuMAD guide-surface style) so the 3 mm sandwich skins are
#       meshed exactly.  EA/EI and GA2 agree to a few %%; the remaining
#       GA3/GJ/EI2 offsets (~10-35%%) are the genuine RM-shell vs 3-D-solid
#       model difference on thick foam-sandwich walls (single-director FSDT
#       vs zig-zag through the soft core), NOT a mesh artifact.
